environment	category	alpha_env	alpha_env_se	alpha_env_ci99_low	alpha_env_ci99_high	beta_env_log	beta_env_log_se	n_genomes_used	r_squared	p_value
Aquatic	0000015	0.06933698905679214	0.021956194102773354	0.012777833048047978	0.1258961450655363	-0.523653240668107	0.17974825811879863	598	0.016457456829719885	0.0017487342790818428
Aquatic	0000049	0.014674350803987673	0.05118532156583658	-0.11717903754960736	0.14652773915758271	0.8834722548377547	0.4190315952344296	595	0.00013858366368280084	0.9490206357217146
Aquatic	0000155	1.3323295220232911	0.10116437189531916	1.071730100020949	1.5929289440256333	-8.405764348043588	0.8285049669274915	586	0.22898950003068363	0.0
Aquatic	0000156	1.1529694183933399	0.0892307005989612	0.9231111336504159	1.382827703136264	-6.758857986636768	0.7306815466309524	596	0.2194049093768058	0.0
Aquatic	0000160	1.512543377392603	0.0603277130273891	1.3571391886340485	1.6679475661511574	-8.912135275210275	0.49388347006798566	598	0.5133148269144594	0.0
Aquatic	0000166	0.4999017728357356	0.037628915706726475	0.4029696859752082	0.596833859696263	-0.7897077670731036	0.30805575964227966	598	0.22847134830051463	0.0
Aquatic	0000179	0.0	0.0	0.0	0.0	0.0	0.0	597	0.0	
Aquatic	0000271	0.6526601994825916	0.08963488979864748	0.4217607233612757	0.8835596756039075	-3.8652153358183803	0.7342351553468798	577	0.08442056699337352	2.220446049250313e-15
Aquatic	0000287	0.44093043224408573	0.037043781377377946	0.3455056514159601	0.5363552130722113	-0.8162249093393616	0.30326545418343764	598	0.19206194694142187	0.0
Aquatic	0000311	0.0	0.0	0.0	0.0	0.0	0.0	598	0.0	
Aquatic	0000314	0.00747530287690412	0.020135655388038975	-0.04439414540268428	0.05934475115649252	0.9679062876937194	0.16484409661978883	598	0.00023119549607253376	0.915997425002445
Aquatic	0000315	-0.041363425223454195	0.011582945799108471	-0.07120109360195762	-0.011525756844950774	1.4236262619426903	0.0948258300836946	598	0.020948560793635274	1.9997020206397744
Aquatic	0000910	0.24254898635562636	0.07415846164283886	0.05151678916367344	0.43358118354757924	-1.2306490683007811	0.60670093639881	583	0.01807914366993435	0.0011025111032694213
Aquatic	0001522	0.3259928941734117	0.04996753271083565	0.19727652991029906	0.4547092584365243	-0.7528284429148255	0.40906802541576687	598	0.06665552560461885	1.7057466550340905e-12
Aquatic	0002949	0.08192623549545967	0.0115129165643982	0.052268962425569915	0.11158350856534943	0.4116297842071661	0.09425252339412704	598	0.07830944762591074	9.992007221626409e-15
Aquatic	0003676	0.8578368609861828	0.040169548403153364	0.7543601042996597	0.961313617672706	-3.996425748329368	0.32885509761336795	598	0.43348872562066887	0.0
Aquatic	0003677	1.152767673394553	0.035037828549888475	1.0625102270500404	1.2430251197390658	-4.410777572935556	0.28684336732621835	598	0.6449112038812954	0.0
Aquatic	0003678	0.33326512365063427	0.0331441398547002	0.24788581938492654	0.418644427916342	-0.8285150067481313	0.2713403506018236	598	0.14503371098433315	0.0
Aquatic	0003684	0.5125114867760385	0.04477563626211479	0.3971694477648308	0.6278535257872462	-2.91547851203811	0.36661329323642244	597	0.18045860787424006	0.0
Aquatic	0003688	-0.01095206231135634	0.009253968795418122	-0.03479028592835342	0.01288616130564074	0.09671191502664342	0.07574488723734227	583	0.0024049933779523025	1.5900393338069516
Aquatic	0003697	0.4007695822306872	0.04603737981484174	0.2821772918276549	0.5193618726337195	-1.9377462616215335	0.37689313509148126	598	0.11280794589726117	0.0
Aquatic	0003700	1.7573636565813597	0.06240963887009956	1.5965964268519832	1.9181308863107362	-10.261436634879317	0.5109275234229542	598	0.5708842927819368	0.0
Aquatic	0003723	0.25876399809843487	0.02193040563461142	0.20227127318367585	0.3152567230131939	1.3930783256073762	0.17953713627272813	598	0.18936279267144385	0.0
Aquatic	0003725	0.33477566639534195	0.04826053108022322	0.21045653833268693	0.45909479445799695	-2.3294204735030735	0.39541081234392905	588	0.07588436025950529	4.973799150320701e-14
Aquatic	0003735	0.044712271730489715	0.003854581865157352	0.034782868845844375	0.054641674615135055	3.614521536383381	0.03155621474264647	598	0.18418157208376162	0.0
Aquatic	0003743	0.0931792217671044	0.016251333833351318	0.05131578581239141	0.1350426577218174	0.3963087383903299	0.13304441265998002	598	0.05227524757996205	8.143721252906744e-10
Aquatic	0003746	0.08109968412283822	0.02906886730368542	0.006218281948544582	0.15598108629713187	0.9816616009502428	0.23797741260922617	598	0.012891420462139758	0.007046587067411014
Aquatic	0003755	0.6987337137670941	0.07041039750061551	0.5173565298055086	0.8801108977286797	-3.9891268242114073	0.5764271460229627	598	0.14180443410349242	0.0
Aquatic	0003824	0.8820339305474012	0.038859220671813764	0.7819325780968089	0.9821352829979935	-3.5465159789884697	0.31812786837816553	598	0.463646663061253	0.0
Aquatic	0003883	0.0	0.0	0.0	0.0	0.0	0.0	595	0.0	
